Query,Time
talk like a pirate.,20
tell me a barbecue joke.,16
tell me a coffee joke.,15
Tell me a fun fact.,16
Tell me a Halloween hack.,22
Tell me a joke.,18
tell me a Star Wars joke.,16
tell me some good news.,30
tell me something weird.,38
Translate good morning to Spanish.,17
what's the best comedy movie?,33
What's the date tomorrow?,15
what's the fourth book in the Narnia series?,22
what's the history of Labor Day?,37
what's the longest word?,40
what's the price of bitcoin?,17
What's the scariest movie of all time?,22
what's the score of the Eagles game?,17
what's the weather for Sunday?,20
what's trending?,34
what's your favorite flower?,17
what's your favorite hobby?,15
what's your favorite sport?,20
what are the most popular books this week?,48
what are the standings in the English Premier League?,30
What are you thankful for?,16
What happened in the midterm elections?,18
What is gluten?,20
What is Homecoming about?,33
What is my sports update?,38
What is my traffic report?,20
what is Roblox?,22
What is the AFC North Standings?,23
What is the capital of Spain?,13
What is the number one song this week?,18
What is the score of the Red Sox game?,23
What is the time in Singapore?,15
What is the weather?,19
What is zero divided by zero?,17
What movies are playing?,36
When does daylight saving time end?,20
When is Hanukkah?,17
When is the next full moon?,21
where did Yoda live?,26
where is Mount Rushmore?,40
who's playing Monday Night Football?,14
who's your favorite author?,18
who's your favorite superhero?,22
Who do you love?,18
Who is in Mastodon?,33
Who is winning the World Series?,16
who is your favorite poet?,19
Who plays Wolverine in X-men? ,15
Who scored for the Golden Knights?,20
why do leaves change color in the fall?,38
Will it rain tomorrow?,15
